language,GridSize,boundary,ic,dt_out,timepoint,l2_error,pathname
Julia,256,neumann,75p,10,2,0.003233382581349413,/project/g_bme-janeslab/SarahG/spinodal_decomp_06_2025/out_julia/NMG_Julia_2000_dt_5.50e-06_Nx_256_neumann_dtout_1075p_phi.csv
Julia,256,neumann,50p,10,2,0.002152588250292806,/project/g_bme-janeslab/SarahG/spinodal_decomp_06_2025/out_julia/NMG_Julia_2000_dt_5.50e-06_Nx_256_neumann_dtout_1050p_phi.csv
Julia,64,neumann,25p,10,2,0.011643025530217314,/project/g_bme-janeslab/SarahG/spinodal_decomp_06_2025/out_julia/NMG_Julia_2000_dt_5.50e-06_Nx_64_neumann_dtout_1025p_phi.csv
Julia,256,periodic,75p,10,2,0.003219241169635965,/project/g_bme-janeslab/SarahG/spinodal_decomp_06_2025/out_julia/NMG_Julia_2000_dt_5.50e-06_Nx_256_periodic_dtout_1075p_phi.csv
Julia,128,neumann,75p,10,2,0.005983911762133454,/project/g_bme-janeslab/SarahG/spinodal_decomp_06_2025/out_julia/NMG_Julia_2000_dt_5.50e-06_Nx_128_neumann_dtout_1075p_phi.csv
Julia,512,neumann,50p,10,2,0.008094957346073099,/project/g_bme-janeslab/SarahG/spinodal_decomp_06_2025/out_julia/NMG_Julia_2000_dt_5.50e-06_Nx_512_neumann_dtout_1050p_phi.csv
Julia,128,periodic,75p,10,2,0.0057864055946080795,/project/g_bme-janeslab/SarahG/spinodal_decomp_06_2025/out_julia/NMG_Julia_2000_dt_5.50e-06_Nx_128_periodic_dtout_1075p_phi.csv
Julia,64,neumann,75p,10,3,0.014199613736926959,/project/g_bme-janeslab/SarahG/spinodal_decomp_06_2025/out_julia/NMG_Julia_2000_dt_5.50e-06_Nx_64_neumann_dtout_1075p_phi.csv
Julia,512,periodic,50p,10,3,0.009901231695367507,/project/g_bme-janeslab/SarahG/spinodal_decomp_06_2025/out_julia/NMG_Julia_2000_dt_5.50e-06_Nx_512_periodic_dtout_1050p_phi.csv
Julia,64,neumann,50p,10,3,0.017300345275733497,/project/g_bme-janeslab/SarahG/spinodal_decomp_06_2025/out_julia/NMG_Julia_2000_dt_5.50e-06_Nx_64_neumann_dtout_1050p_phi.csv
