simulation,language,nx,gam,dt,tol,max_it,max_it_CH,time_passed (sec)
CPC_geometry_domain_0_2_e_0.0075,Julia,512,0.0075,1.52587890625e-6,1.0e-5,19661,10000,3127.04459119
CPC_geometry_domain_0_2_e_0.0075,Julia,512,0.0075,1.52587890625e-6,1.0e-5,19661,10000,3140.126528366
CPC_geometry_domain_0_2_e_0.0075,Julia,512,0.0075,1.52587890625e-6,1.0e-5,19661,10000,3142.786259782
CPC_geometry_domain_0_2_e_0.0075,Julia,512,0.0075,1.52587890625e-6,1.0e-5,19661,10000,3143.921749626
CPC_geometry_domain_0_2_e_0.0075,Julia,512,0.0075,1.52587890625e-6,1.0e-5,19661,10000,3246.495852408
CPC_geometry_domain_0_2_e_0.0075,Julia,512,0.0075,1.52587890625e-6,1.0e-5,19661,10000,3261.96258645
CPC_geometry_domain_0_2_e_0.0075,Julia,512,0.0075,1.52587890625e-6,1.0e-5,19661,10000,3280.210995436
CPC_geometry_domain_0_2_e_0.0075,Julia,512,0.0075,1.52587890625e-6,1.0e-5,19661,10000,3353.806800846
CPC_geometry_domain_0_2_e_0.0075,Julia,512,0.0075,1.52587890625e-6,1.0e-5,19661,10000,3377.777736511
CPC_geometry_domain_0_2_e_0.0075,Julia,512,0.0075,1.52587890625e-6,1.0e-5,19661,10000,3378.351689733
CPC_geometry_domain_0_2_e_0.0075,Julia,512,0.0075,1.52587890625e-6,1.0e-5,19661,10000,3441.775662972
CPC_geometry_domain_0_2_e_0.0075,Julia,512,0.0075,1.52587890625e-6,1.0e-5,19661,10000,3455.671997811
CPC_geometry_domain_0_2_e_0.0075,Julia,512,0.0075,1.52587890625e-6,1.0e-5,19661,10000,3510.368693879
CPC_geometry_domain_0_2_e_0.0075,Julia,512,0.0075,1.52587890625e-6,1.0e-5,19661,10000,3530.286185735
CPC_geometry_domain_0_2_e_0.0075,Julia,512,0.0075,1.52587890625e-6,1.0e-5,19661,10000,3532.012994661
CPC_geometry_domain_0_2_e_0.0075,Julia,512,0.0075,1.52587890625e-6,1.0e-5,19661,10000,3567.054602136
CPC_geometry_domain_0_2_e_0.0075,Julia,512,0.0075,1.52587890625e-6,1.0e-5,19661,10000,3688.284743921
CPC_geometry_domain_0_2_e_0.0075,Julia,512,0.0075,1.52587890625e-6,1.0e-5,19661,10000,3698.335654839
CPC_geometry_domain_0_2_e_0.0075,Julia,512,0.0075,1.52587890625e-6,1.0e-5,19661,10000,3753.196140522
CPC_geometry_domain_0_2_e_0.0075,Julia,512,0.0075,1.52587890625e-6,1.0e-5,19661,10000,3767.483936341
CPC_geometry_domain_0_2_e_0.0075,Julia,512,0.0075,1.52587890625e-6,1.0e-5,19661,10000,3796.393301754
CPC_geometry_domain_0_2_e_0.0075,Julia,512,0.0075,1.52587890625e-6,1.0e-5,19661,10000,3982.07481465
CPC_geometry_domain_0_2_e_0.0075,Julia,512,0.0075,1.52587890625e-6,1.0e-5,19661,10000,4040.359720216
CPC_geometry_domain_0_2_e_0.0075,Julia,512,0.0075,1.52587890625e-6,1.0e-5,19661,10000,4040.711134036
CPC_geometry_domain_0_2_e_0.0075,Julia,512,0.0075,1.52587890625e-6,1.0e-5,19661,10000,4050.279473153
CPC_geometry_domain_0_2_e_0.0075,Julia,512,0.0075,1.52587890625e-6,1.0e-5,19661,10000,4075.085079601
CPC_geometry_domain_0_2_e_0.0075,Julia,512,0.0075,1.52587890625e-6,1.0e-5,19661,10000,4084.565573807
CPC_geometry_domain_0_2_e_0.0075,Julia,512,0.0075,1.52587890625e-6,1.0e-5,19661,10000,4086.513981354
CPC_geometry_domain_0_2_e_0.0075,Julia,512,0.0075,1.52587890625e-6,1.0e-5,19661,10000,4136.999207447
CPC_geometry_domain_0_2_e_0.0075,Julia,512,0.0075,1.52587890625e-6,1.0e-5,19661,10000,4158.111450856
CPC_geometry_domain_0_2_e_0.0075,Julia,512,0.0075,1.52587890625e-6,1.0e-5,19661,10000,4214.274454007
CPC_geometry_domain_0_2_e_0.0075,Julia,512,0.0075,1.52587890625e-6,1.0e-5,19661,10000,4218.744975768
CPC_geometry_domain_0_2_e_0.0075,Julia,512,0.0075,1.52587890625e-6,1.0e-5,19661,10000,4255.316708537
CPC_geometry_domain_0_2_e_0.0075,Julia,512,0.0075,1.52587890625e-6,1.0e-5,19661,10000,4280.690169356
CPC_geometry_domain_0_2_e_0.0075,Julia,512,0.0075,1.52587890625e-6,1.0e-5,19661,10000,4294.027097772
CPC_geometry_domain_0_2_e_0.0075,Julia,512,0.0075,1.52587890625e-6,1.0e-5,19661,10000,4297.707586596
CPC_geometry_domain_0_2_e_0.0075,Julia,512,0.0075,1.52587890625e-6,1.0e-5,19661,10000,4484.071564982
CPC_geometry_domain_0_2_e_0.0075,Julia,512,0.0075,1.52587890625e-6,1.0e-5,19661,10000,4578.006608137
CPC_geometry_domain_0_2_e_0.0075,Julia,512,0.0075,1.52587890625e-6,1.0e-5,19661,10000,3098.576447717
CPC_geometry_domain_0_2_e_0.0075,Julia,512,0.0075,1.52587890625e-6,1.0e-5,19661,10000,3488.471007719
CPC_geometry_domain_0_2_e_0.0075,Julia,512,0.0075,1.52587890625e-6,1.0e-5,19661,10000,3685.612203062
CPC_geometry_domain_0_2_e_0.0075,Julia,512,0.0075,1.52587890625e-6,1.0e-5,19661,10000,4148.184286096
CPC_geometry_domain_0_2_e_0.0075,Julia,512,0.0075,1.52587890625e-6,1.0e-5,19661,10000,4224.281735167
CPC_geometry_domain_0_2_e_0.0075,Julia,512,0.0075,1.52587890625e-6,1.0e-5,19661,10000,4245.056558432
CPC_geometry_domain_0_2_e_0.0075,Julia,512,0.0075,1.52587890625e-6,1.0e-5,19661,10000,4312.234273895
CPC_geometry_domain_0_2_e_0.0075,Julia,512,0.0075,1.52587890625e-6,1.0e-5,19661,10000,4333.632555431
CPC_geometry_domain_0_2_e_0.0075,Julia,512,0.0075,1.52587890625e-6,1.0e-5,19661,10000,4347.211144202
CPC_geometry_domain_0_2_e_0.0075,Julia,512,0.0075,1.52587890625e-6,1.0e-5,19661,10000,4347.70811555
CPC_geometry_domain_0_2_e_0.0075,Julia,512,0.0075,1.52587890625e-6,1.0e-5,19661,10000,4385.401925013
CPC_geometry_domain_0_2_e_0.0075,Julia,512,0.0075,1.52587890625e-6,1.0e-5,19661,10000,4466.50287921
CPC_geometry_domain_0_2_e_0.0075,Julia,512,0.0075,1.52587890625e-6,1.0e-5,19661,10000,4581.896905251
CPC_geometry_domain_0_2_e_0.0075,Julia,512,0.0075,1.52587890625e-6,1.0e-5,19661,10000,8277.815371231
CPC_geometry_domain_0_2_e_0.0075,Julia,512,0.0075,1.52587890625e-6,1.0e-5,19661,10000,8324.996854503
CPC_geometry_domain_0_2_e_0.0075,Julia,512,0.0075,1.52587890625e-6,1.0e-5,19661,10000,8456.540571059
CPC_geometry_domain_0_2_e_0.0075,Julia,512,0.0075,1.52587890625e-6,1.0e-5,19661,10000,8857.926622465
CPC_geometry_domain_0_2_e_0.0075,Julia,512,0.0075,1.52587890625e-6,1.0e-5,19661,10000,8873.493645243
CPC_geometry_domain_0_2_e_0.0075,Julia,512,0.0075,1.52587890625e-6,1.0e-5,19661,10000,9316.391679787
CPC_geometry_domain_0_2_e_0.0075,Julia,512,0.0075,1.52587890625e-6,1.0e-5,19661,10000,8468.854594393
CPC_geometry_domain_0_2_e_0.0075,Julia,512,0.0075,1.52587890625e-6,1.0e-5,19661,10000,3217.828379821
CPC_geometry_domain_0_2_e_0.0075,Julia,512,0.0075,1.52587890625e-6,1.0e-5,19661,10000,3305.994738464
CPC_geometry_domain_0_2_e_0.0075,Julia,512,0.0075,1.52587890625e-6,1.0e-5,19661,10000,3399.559839641
CPC_geometry_domain_0_2_e_0.0075,Julia,512,0.0075,1.52587890625e-6,1.0e-5,19661,10000,3403.03766356
CPC_geometry_domain_0_2_e_0.0075,Julia,512,0.0075,1.52587890625e-6,1.0e-5,19661,10000,3417.298196389
CPC_geometry_domain_0_2_e_0.0075,Julia,512,0.0075,1.52587890625e-6,1.0e-5,19661,10000,3433.246017309
CPC_geometry_domain_0_2_e_0.0075,Julia,512,0.0075,1.52587890625e-6,1.0e-5,19661,10000,3459.560664834
CPC_geometry_domain_0_2_e_0.0075,Julia,512,0.0075,1.52587890625e-6,1.0e-5,19661,10000,3513.011577846
CPC_geometry_domain_0_2_e_0.0075,Julia,512,0.0075,1.52587890625e-6,1.0e-5,19661,10000,3539.750818383
CPC_geometry_domain_0_2_e_0.0075,Julia,512,0.0075,1.52587890625e-6,1.0e-5,19661,10000,3552.775522987
CPC_geometry_domain_0_2_e_0.0075,Julia,512,0.0075,1.52587890625e-6,1.0e-5,19661,10000,3558.978040085
CPC_geometry_domain_0_2_e_0.0075,Julia,512,0.0075,1.52587890625e-6,1.0e-5,19661,10000,3564.952811112
CPC_geometry_domain_0_2_e_0.0075,Julia,512,0.0075,1.52587890625e-6,1.0e-5,19661,10000,3572.965173701
CPC_geometry_domain_0_2_e_0.0075,Julia,512,0.0075,1.52587890625e-6,1.0e-5,19661,10000,3595.854154812
CPC_geometry_domain_0_2_e_0.0075,Julia,512,0.0075,1.52587890625e-6,1.0e-5,19661,10000,3585.018277151
CPC_geometry_domain_0_2_e_0.0075,Julia,512,0.0075,1.52587890625e-6,1.0e-5,19661,10000,3585.530756384
CPC_geometry_domain_0_2_e_0.0075,Julia,512,0.0075,1.52587890625e-6,1.0e-5,19661,10000,3590.460726066
CPC_geometry_domain_0_2_e_0.0075,Julia,512,0.0075,1.52587890625e-6,1.0e-5,19661,10000,3653.229171741
CPC_geometry_domain_0_2_e_0.0075,Julia,512,0.0075,1.52587890625e-6,1.0e-5,19661,10000,3656.334391773
CPC_geometry_domain_0_2_e_0.0075,Julia,512,0.0075,1.52587890625e-6,1.0e-5,19661,10000,3735.234208481
CPC_geometry_domain_0_2_e_0.0075,Julia,512,0.0075,1.52587890625e-6,1.0e-5,19661,10000,4089.130533852
CPC_geometry_domain_0_2_e_0.0075,Julia,512,0.0075,1.52587890625e-6,1.0e-5,19661,10000,4289.841588282
CPC_geometry_domain_0_2_e_0.0075,Julia,512,0.0075,1.52587890625e-6,1.0e-5,19661,10000,4345.55664389
CPC_geometry_domain_0_2_e_0.0075,Julia,512,0.0075,1.52587890625e-6,1.0e-5,19661,10000,4414.100636563
CPC_geometry_domain_0_2_e_0.0075,Julia,512,0.0075,1.52587890625e-6,1.0e-5,19661,10000,6475.350428763
CPC_geometry_domain_0_2_e_0.0075,Julia,512,0.0075,1.52587890625e-6,1.0e-5,19661,10000,6911.25485459
CPC_geometry_domain_0_2_e_0.0075,Julia,512,0.0075,1.52587890625e-6,1.0e-5,19661,10000,4135.260612325
CPC_geometry_domain_0_2_e_0.0075,Julia,512,0.0075,1.52587890625e-6,1.0e-5,19661,10000,4154.041047652
CPC_geometry_domain_0_2_e_0.0075,Julia,512,0.0075,1.52587890625e-6,1.0e-5,19661,10000,4181.991928043
CPC_geometry_domain_0_2_e_0.0075,Julia,512,0.0075,1.52587890625e-6,1.0e-5,19661,10000,4179.799645415
CPC_geometry_domain_0_2_e_0.0075,Julia,512,0.0075,1.52587890625e-6,1.0e-5,19661,10000,4172.627089177
CPC_geometry_domain_0_2_e_0.0075,Julia,512,0.0075,1.52587890625e-6,1.0e-5,19661,10000,4143.422126136
CPC_geometry_domain_0_2_e_0.0075,Julia,512,0.0075,1.52587890625e-6,1.0e-5,19661,10000,4214.146944773
CPC_geometry_domain_0_2_e_0.0075,Julia,512,0.0075,1.52587890625e-6,1.0e-5,19661,10000,4205.053465242
CPC_geometry_domain_0_2_e_0.0075,Julia,512,0.0075,1.52587890625e-6,1.0e-5,19661,10000,4153.265263492
CPC_geometry_domain_0_2_e_0.0075,Julia,512,0.0075,1.52587890625e-6,1.0e-5,19661,10000,4143.778578776
CPC_geometry_domain_0_2_e_0.0075,Julia,512,0.0075,1.52587890625e-6,1.0e-5,19661,10000,4196.536106184
CPC_geometry_domain_0_2_e_0.0075,Julia,512,0.0075,1.52587890625e-6,1.0e-5,19661,10000,4177.95761176
CPC_geometry_domain_0_2_e_0.0075,Julia,512,0.0075,1.52587890625e-6,1.0e-5,19661,10000,4276.971123589
CPC_geometry_domain_0_2_e_0.0075,Julia,512,0.0075,1.52587890625e-6,1.0e-5,19661,10000,4105.988705705
CPC_geometry_domain_0_2_e_0.0075,Julia,512,0.0075,1.52587890625e-6,1.0e-5,19661,10000,4244.395912621
CPC_geometry_domain_0_2_e_0.0075,Julia,512,0.0075,1.52587890625e-6,1.0e-5,19661,10000,4316.012654786
CPC_geometry_domain_0_2_e_0.0075,Julia,512,0.0075,1.52587890625e-6,1.0e-5,19661,10000,4149.053377992
CPC_geometry_domain_0_2_e_0.0075,Julia,512,0.0075,1.52587890625e-6,1.0e-5,19661,10000,4305.01647369
CPC_geometry_domain_0_2_e_0.0075,Julia,512,0.0075,1.52587890625e-6,1.0e-5,19661,10000,4165.919480969
CPC_geometry_domain_0_2_e_0.0075,Julia,512,0.0075,1.52587890625e-6,1.0e-5,19661,10000,4204.209225481
CPC_geometry_domain_0_2_e_0.0075,Julia,512,0.0075,1.52587890625e-6,1.0e-5,19661,10000,4148.94450763
CPC_geometry_domain_0_2_e_0.0075,Julia,512,0.0075,1.52587890625e-6,1.0e-5,19661,10000,4220.786119331
CPC_geometry_domain_0_2_e_0.0075,Julia,512,0.0075,1.52587890625e-6,1.0e-5,19661,10000,4267.634305004
CPC_geometry_domain_0_2_e_0.0075,Julia,512,0.0075,1.52587890625e-6,1.0e-5,19661,10000,4295.351131567
CPC_geometry_domain_0_2_e_0.0075,Julia,512,0.0075,1.52587890625e-6,1.0e-5,19661,10000,4352.62878878
CPC_geometry_domain_0_2_e_0.0075,Julia,512,0.0075,1.52587890625e-6,1.0e-5,19661,10000,4300.584841569
CPC_geometry_domain_0_2_e_0.0075,Julia,512,0.0075,1.52587890625e-6,1.0e-5,19661,10000,4301.115203137
CPC_geometry_domain_0_2_e_0.0075,Julia,512,0.0075,1.52587890625e-6,1.0e-5,19661,10000,8566.86778904
CPC_geometry_domain_0_2_e_0.0075,Julia,512,0.0075,1.52587890625e-6,1.0e-5,19661,10000,8829.275965994
CPC_geometry_domain_0_2_e_0.0075,Julia,512,0.0075,1.52587890625e-6,1.0e-5,19661,10000,8962.197821312
CPC_geometry_domain_0_2_e_0.0075,Julia,512,0.0075,1.52587890625e-6,1.0e-5,19661,10000,3575.912439049
CPC_geometry_domain_0_2_e_0.0075,Julia,512,0.0075,1.52587890625e-6,1.0e-5,19661,10000,3572.066722223
CPC_geometry_domain_0_2_e_0.0075,Julia,512,0.0075,1.52587890625e-6,1.0e-5,19661,10000,3574.245101722
CPC_geometry_domain_0_2_e_0.0075,Julia,512,0.0075,1.52587890625e-6,1.0e-5,19661,10000,3552.041301315
CPC_geometry_domain_0_2_e_0.0075,Julia,512,0.0075,1.52587890625e-6,1.0e-5,19661,10000,3479.783068763
CPC_geometry_domain_0_2_e_0.0075,Julia,512,0.0075,1.52587890625e-6,1.0e-5,19661,10000,3610.014687842
CPC_geometry_domain_0_2_e_0.0075,Julia,512,0.0075,1.52587890625e-6,1.0e-5,19661,10000,3722.012965304
CPC_geometry_domain_0_2_e_0.0075,Julia,512,0.0075,1.52587890625e-6,1.0e-5,19661,10000,3726.795855278
CPC_geometry_domain_0_2_e_0.0075,Julia,512,0.0075,1.52587890625e-6,1.0e-5,19661,10000,3787.516300011
CPC_geometry_domain_0_2_e_0.0075,Julia,512,0.0075,1.52587890625e-6,1.0e-5,19661,10000,3754.082270751
CPC_geometry_domain_0_2_e_0.0075,Julia,512,0.0075,1.52587890625e-6,1.0e-5,19661,10000,3957.476574579
CPC_geometry_domain_0_2_e_0.0075,Julia,512,0.0075,1.52587890625e-6,1.0e-5,19661,10000,3971.93185719
CPC_geometry_domain_0_2_e_0.0075,Julia,512,0.0075,1.52587890625e-6,1.0e-5,19661,10000,4080.9291708
CPC_geometry_domain_0_2_e_0.0075,Julia,512,0.0075,1.52587890625e-6,1.0e-5,19661,10000,4031.465766599
CPC_geometry_domain_0_2_e_0.0075,Julia,512,0.0075,1.52587890625e-6,1.0e-5,19661,10000,3973.710971901
CPC_geometry_domain_0_2_e_0.0075,Julia,512,0.0075,1.52587890625e-6,1.0e-5,19661,10000,4046.591431136
CPC_geometry_domain_0_2_e_0.0075,Julia,512,0.0075,1.52587890625e-6,1.0e-5,19661,10000,4085.703306554
CPC_geometry_domain_0_2_e_0.0075,Julia,512,0.0075,1.52587890625e-6,1.0e-5,19661,10000,4056.232300718
CPC_geometry_domain_0_2_e_0.0075,Julia,512,0.0075,1.52587890625e-6,1.0e-5,19661,10000,4012.02979309
CPC_geometry_domain_0_2_e_0.0075,Julia,512,0.0075,1.52587890625e-6,1.0e-5,19661,10000,4119.301306287
CPC_geometry_domain_0_2_e_0.0075,Julia,512,0.0075,1.52587890625e-6,1.0e-5,19661,10000,4069.841216677
CPC_geometry_domain_0_2_e_0.0075,Julia,512,0.0075,1.52587890625e-6,1.0e-5,19661,10000,8314.736885846
CPC_geometry_domain_0_2_e_0.0075,Julia,512,0.0075,1.52587890625e-6,1.0e-5,19661,10000,8333.486688444
CPC_geometry_domain_0_2_e_0.0075,Julia,512,0.0075,1.52587890625e-6,1.0e-5,19661,10000,8332.385083254
CPC_geometry_domain_0_2_e_0.0075,Julia,512,0.0075,1.52587890625e-6,1.0e-5,19661,10000,8551.439436512
CPC_geometry_domain_0_2_e_0.0075,Julia,512,0.0075,1.52587890625e-6,1.0e-5,19661,10000,8617.081215192
CPC_geometry_domain_0_2_e_0.0075,Julia,512,0.0075,1.52587890625e-6,1.0e-5,19661,10000,8739.152702618
CPC_geometry_domain_0_2_e_0.0075,Julia,512,0.0075,1.52587890625e-6,1.0e-5,19661,10000,8879.598516603
CPC_geometry_domain_0_2_e_0.0075,Julia,512,0.0075,1.52587890625e-6,1.0e-5,19661,10000,9129.498500199
CPC_geometry_domain_0_2_e_0.0075,Julia,512,0.0075,1.52587890625e-6,1.0e-5,19661,10000,9350.126939019
CPC_geometry_domain_0_2_e_0.0075,Julia,512,0.0075,1.52587890625e-6,1.0e-5,19661,10000,9317.142584675
CPC_geometry_domain_0_2_e_0.0075,Julia,512,0.0075,1.52587890625e-6,1.0e-5,19661,10000,7817.019971844
